name,avg_price,volume,tokens
LooksRare,291110.0,672470000.0,ETH
"OpenSea,1490.0,227920000.0,""ETH,Polygon"""
Magic Eden,322.59,9220000.0,SOLANA
CryptoPunks,280580.0,6450000.0,ETH
NBA Top Shot,43.69,2670000.0,FLOW
"Axie Infinity,32.18,2180000.0,""ETH,RONIN"""
Solanart,348.07,1210000.0,SOLANA
AtomicMarket,15.55,968440.0,WAX
Mobox,379.09,810870.0,BSC
BloctoBay,3100.0,555360.0,FLOW
Decentraland,32240.0,483690.0,ETH
"Rarible,1070.0,441680.0,""ETH,TEZOS"""
SolSea,217.08,279600.0,SOLANA
"NFTrade,136.36,216620.0,""AVALANCHE,BSC,ETH,Polygon"""
SuperRare.co,10280.0,205670.0,ETH
Aavegotchi,595.66,135210.0,Polygon
Hic et nunc,11.09,89370.0,TEZOS
Foundation,1980.0,79550.0,ETH
PancakeSwap,188.78,69840.0,BSC
Waves Ducks,1390.0,33370.0,Waves
Objkt.com marketplace,64.17,32660.0,TEZOS
The Sandbox Marketplace,963.1,24070.0,ETH
Playdapp marketplace,2.97,13620.0,Polygon
AirNFTs,75.2,13530.0,BSC
"Treasureland,95.33,8770.0,""BSC,Polygon"""
DigitalEyes Market,344.02,7560.0,SOLANA
Altura,326.03,3910.0,BSC
Lootex,37.6,2670.0,BSC
"MegaCryptoPolis,109.34,2650.0,""ETH,Polygon,TRON"""
Mochi Marketplace,57.85,2190.0,BSC
KnownOrigin,970.39,1940.0,ETH
MakersPlace,897.54,1790.0,ETH
Starly,10.22,1560.0,FLOW
Kalamint,14.51,493.39,TEZOS
Waxplorer,41.19,123.59,WAX
SIGN Art,12.39,74.36,Waves
Collectables.io,1.31,28.99,WAX
CryptoSlam,0.487,5.36,WAX
BakerySwap,0.0,0.0,BSC
Ember Sword,0.0,0.0,Polygon
Venly Market,0.0,0.0,Polygon
NFTKEY,0.0,0.0,ETH
Myth.Market,0.0,0.0,WAX
Solana Monkey Business,0.0,0.0,SOLANA
Waxstash,0.0,0.0,WAX
CryptoCats,0.0,0.0,ETH
